"","Country Name","Country Code","CoC_est","Gov_Eff_est","Pol_Sta_est","Reg_Qua_est","Rule_Law_est","Voice_Act_est","GDP_current","Region_fh","PR_fh","CL_fh","Total_fh","hdi","le","gni_pc","coef_ineq","gii"
"113","Montenegro","MNE",-0.0900272467173636,0.095687698200345,0.0989531006664037,0.322782620042563,-0.0560485547874123,0.125158383511007,5025810819.94444,"Europe",25.4,42.4,67.8,0.8322,76.744,19815.761268,11.08108105,0.1335
"114","Morocco","MAR",-0.322037321329117,-0.196036729961634,-0.375579118728638,-0.121418298222125,-0.232476462423801,-0.63742573261261,122574288789.283,"Africa",14.3,25.5,39.8,0.67,73.5715,7689.5829102,27.401831199,0.4587
"115","Mozambique","MOZ",-0.790975117683411,-0.819778800010681,-0.852245199680329,-0.680905386805534,-0.982823330163955,-0.444082619249821,15605942806.9881,"Africa",19.2,32.6,51.8,0.4523,59.254,1231.9521178,40.5756536,0.5025
"116","Myanmar","MMR",-0.811465239524842,-1.25827944278717,-1.36916638016701,-1.03391917943954,-1.18699817657471,-1.18497337698937,66517443323.0837,"Asia",10.5,16,26.5,0.5815,65.976,4042.011175,22.73365604125,0.493375
"117","Namibia","NAM",0.274878846108913,0.152639850787818,0.641536909341812,0.0132973773230333,0.326408019661903,0.532610586285591,12159999020.4736,"Africa",30.2,46.3,76.5,0.6254,60.9009,9884.1228672,33.238896433,0.4671
"118","Nauru","NRU",0.337338426709175,-0.0680406614439561,0.896529430150986,-0.527584097534419,-0.199955429136753,0.601968789100647,116332111.38602,"Asia",35.4,47.4,82.8,0.6602,62.8783,12019.4922783,NA,NA
"119","Nepal","NPL",-0.65503950715065,-0.964822071790695,-0.589857079088688,-0.760711669921875,-0.606062170863152,-0.232275833934546,30123477140.9765,"Asia",24.1,28.8,52.9,0.5824,68.7909,3572.9774203,30.2607386,0.5066
"120","Netherlands","NLD",1.9093535900116,1.77980834245682,0.900593763589859,1.83790965080261,1.78549295663834,1.52464088201523,892595196358.198,"Europe",39.9,58.8,98.7,0.9366,81.7288,53897.990025,7.01986783,0.0302
"121","New Zealand","NZL",2.19654636383057,1.65116651058197,1.45995745658874,1.91962336301804,1.86668627262115,1.57471265792847,210688100868.171,"Asia",39.7,58.1,97.8,0.9347,82.2856,40871.549383,8.2296989332,0.1122
"122","Nicaragua","NIC",-1.01031519770622,-0.810736471414566,-0.388106237351894,-0.625517645478249,-0.961787176132201,-0.859540125727654,13091203121.2096,"Americas",13.5,28.5,42,0.6524,73.346,5284.091687,24.023735111,0.4113
"123","Niger","NER",-0.633971512317657,-0.722706413269043,-1.33586312532425,-0.72411761879921,-0.595365896821022,-0.40048027485609,12208447265.7857,"Africa",22.6,28.8,51.4,0.3784,61.6355,1214.615651,34.018138565,0.6447
"124","Nigeria","NGA",-1.12748321294785,-1.08831360340118,-1.95189533233643,-0.921228063106536,-0.956771928071976,-0.498435068130493,460964171324.697,"Africa",21.9,24.9,46.8,0.5287,52.4347,4944.1592599,33.553800368,0.6802
"125","North Korea","PRK",-1.49592159986496,-1.61545013189316,-0.580796518921851,-2.36953039169311,-1.62654299736023,-2.16863675117493,NA,"Asia",0,3,3,NA,73.0193,NA,NA,NA
"126","North Macedonia","MKD",-0.302103592827916,-0.0472722787410022,-0.0978339101187885,0.41065903455019,-0.209008786454797,-0.0448270175606011,11943849687.5302,"Europe",24,37.5,61.5,0.7758,75.7793,15184.947668,12.167220601,0.1446
"127","Norway","NOR",2.13762664794922,1.8611752986908,1.13835663795471,1.68051842451096,1.94108669757843,1.70634500980377,450149412806.524,"Europe",40,60,100,0.9575,82.6601,66462.102278,5.9504290133,0.0264
"128","Oman","OMN",0.216804617643356,0.105734853632748,0.608430010080337,0.435048563778401,0.455280673503876,-1.09848724603653,87566678465.5396,"Middle East",7.3,17.1,24.4,0.8252,76.542,32890.771434,17.910635883,0.2931
"129","Pakistan","PAK",-0.849065494537354,-0.662161335349083,-2.22593355178833,-0.708175164461136,-0.734817957878113,-0.788812494277954,318352409515.432,"Asia",18.4,22,40.4,0.5306,66.0344,4805.060589,33.840667266,0.5497
"130","Palau","PLW",0.337338426709175,0.108830650150776,1.07274284362793,0.0316099129617214,0.811802744865418,1.13877116441727,265383365.972222,"Asia",37,55,92,0.7878,64.569,18556.080715,19.2465115555556,NA
"131","Panama","PAN",-0.543553325533867,0.133078361861408,0.260955168306828,0.365900492668152,-0.168384687276557,0.534485301375389,60775554350,"Americas",35.3,47.6,82.9,0.8095,77.2581,28470.961238,20.548767966,0.4118
"132","Papua New Guinea","PNG",-0.861110264062881,-0.72453379034996,-0.567224672436714,-0.594499808549881,-0.783197742700577,0.0551619325764477,24012342016.2056,"Asia",23.6,37.8,61.4,0.5504,65.0616,3674.4234597,28.2602724271429,0.7111
"133","Paraguay","PRY",-0.932807111740113,-0.749363750219345,-0.0710859360871836,-0.189464788138866,-0.614028510451317,-0.0246853389311582,38543348887.9604,"Americas",27.3,36.7,64,0.7364,72.7112,12771.282771,20.255432534,0.4388
"134","Peru","PER",-0.574697601795197,-0.274035073816776,-0.382672587037087,0.384482250362635,-0.517054635286331,0.200353813543916,211389067736.251,"Americas",30.2,41.5,71.7,0.7609,74.9181,11622.943138,21.46302308,0.3841
"135","Philippines","PHL",-0.508888122439384,0.0957687187939881,-0.972069782018662,0.0761948090046644,-0.515991368889808,0.0269654794130474,341872812521.903,"Asia",26,35,61,0.7001,71.3283,8516.5636496,17.665661801,0.3974
